time_s,e_lat,x_robot,y_robot,x_path,y_path,v_cmd,omega_cmd
5.895000100000001,-0.0054729218725084235,2.9006478213223623,-0.0054729218725084235,2.9039519759879937,0.0,0.5,-0.02779871879628556
5.8960001,-0.005453548948792103,2.9011474458712256,-0.005453548948792103,2.9039519759879937,0.0,0.5,-0.027809704716474582
5.8970001000000005,-0.005434189914005604,2.9016470709584383,-0.005434189914005604,2.9039519759879937,0.0,0.5,-0.02782065184511101
5.8980001,-0.005414844773652733,2.9021466965838267,-0.005414844773652733,2.9039519759879937,0.0,0.5,-0.027831560209967625
5.8990001,-0.005395513533217924,2.9026463227472163,-0.005395513533217924,2.9039519759879937,0.0,0.5,-0.02784242983882844
5.900000100000001,-0.005376196198166249,2.903145949448431,-0.005376196198166249,2.9039519759879937,0.0,0.5,-0.027853260759488258
5.9010001,-0.005356892773943433,2.903645576687293,-0.005356892773943433,2.9039519759879937,0.0,0.5,-0.02786405299975261
5.9020001,-0.0053376032659758705,2.904145204463625,-0.0053376032659758705,2.9039519759879937,0.0,0.5,-0.02787480658743864
5.903000100000001,-0.0053183276796706334,2.904644832777247,-0.0053183276796706334,2.9039519759879937,0.0,0.5,-0.027885521550374173
5.9040001,-0.005299066020415491,2.905144461627978,-0.005299066020415491,2.9039519759879937,0.0,0.5,-0.027896197916397254
5.9050001000000005,-0.00527981829357892,2.905644091015636,-0.00527981829357892,2.9039519759879937,0.0,0.5,-0.02790683571335701
5.9060001,-0.00526058450451012,2.906143720940038,-0.00526058450451012,2.9039519759879937,0.0,0.5,-0.027917434969113607
5.9070001,-0.0052413646585390255,2.9066433514009997,-0.0052413646585390255,2.9039519759879937,0.0,0.5,-0.027927995711537798
5.908000100000001,-0.005222158760976321,2.9071429823983355,-0.005222158760976321,2.9039519759879937,0.0,0.5,-0.027938517968510882
5.9090001,-0.005202966817113457,2.9076426139318587,-0.005202966817113457,2.9039519759879937,0.0,0.5,-0.027949001767924683
5.9100001,-0.005183788832222657,2.9081422460013813,-0.005183788832222657,2.911455727863932,0.0,0.5,-0.02795944713768196
5.911000100000001,-0.005164624811556941,2.9086418786067143,-0.005164624811556941,2.911455727863932,0.0,0.5,-0.027969854105695503
5.9120001,-0.005145474760350131,2.9091415117476673,-0.005145474760350131,2.911455727863932,0.0,0.5,-0.02798022269988942
5.9130001000000005,-0.005126338683816868,2.9096411454240494,-0.005126338683816868,2.911455727863932,0.0,0.5,-0.02799055294819735
5.9140001,-0.005107216587152627,2.9101407796356673,-0.005107216587152627,2.911455727863932,0.0,0.5,-0.028000844878564198
5.9150001,-0.0050881084755337305,2.9106404143823275,-0.0050881084755337305,2.911455727863932,0.0,0.5,-0.02801109851894435
5.916000100000001,-0.005069014354117361,2.9111400496638353,-0.005069014354117361,2.911455727863932,0.0,0.5,-0.02802131389730339
5.9170001,-0.005049934228041573,2.911639685479994,-0.005049934228041573,2.911455727863932,0.0,0.5,-0.028031491041617222
5.9180001,-0.005030868102425314,2.9121393218306073,-0.005030868102425314,2.911455727863932,0.0,0.5,-0.028041629979871564
5.919000100000001,-0.00501181598236843,2.912638958715476,-0.00501181598236843,2.911455727863932,0.0,0.0,0.0
5.9200001,-0.00501181598236843,2.912638958715476,-0.00501181598236843,2.911455727863932,0.0,0.0,0.0
5.9210001000000005,-0.00501181598236843,2.912638958715476,-0.00501181598236843,2.911455727863932,0.0,0.0,0.0
5.9220001,-0.00501181598236843,2.912638958715476,-0.00501181598236843,2.911455727863932,0.0,0.0,0.0
5.9230001,-0.00501181598236843,2.912638958715476,-0.00501181598236843,2.911455727863932,0.0,0.0,0.0
5.924000100000001,-0.00501181598236843,2.912638958715476,-0.00501181598236843,2.911455727863932,0.0,0.0,0.0
5.9250001,-0.00501181598236843,2.912638958715476,-0.00501181598236843,2.911455727863932,0.0,0.0,0.0
5.9260001,-0.00501181598236843,2.912638958715476,-0.00501181598236843,2.911455727863932,0.0,0.0,0.0
5.927000100000001,-0.00501181598236843,2.912638958715476,-0.00501181598236843,2.911455727863932,0.0,0.0,0.0
5.9280001,-0.00501181598236843,2.912638958715476,-0.00501181598236843,2.911455727863932,0.0,0.0,0.0
5.9290001000000006,-0.00501181598236843,2.912638958715476,-0.00501181598236843,2.911455727863932,0.0,0.0,0.0
5.9300001,-0.00501181598236843,2.912638958715476,-0.00501181598236843,2.911455727863932,0.0,0.0,0.0
5.9310001,-0.00501181598236843,2.912638958715476,-0.00501181598236843,2.911455727863932,0.0,0.0,0.0
5.932000100000001,-0.00501181598236843,2.912638958715476,-0.00501181598236843,2.911455727863932,0.0,0.0,0.0
5.9330001,-0.00501181598236843,2.912638958715476,-0.00501181598236843,2.911455727863932,0.0,0.0,0.0
5.9340001,-0.00501181598236843,2.912638958715476,-0.00501181598236843,2.911455727863932,0.0,0.0,0.0
